ano	alltags	musica	artista	
1966	Quero Que Vá Tudo Pro Inferno - Roberto Carlos	Quero Que Vá Tudo Pro Inferno 	 Roberto Carlos	
1966	Yesterday - Beatles	Yesterday 	 Beatles	
1966	A Banda - Nara Leão	A Banda 	 Nara Leão	
1966	Capri C'est Fini - Hervé Villard	Capri C'est Fini 	 Hervé Villard	
1966	Esqueça - Roberto Carlos	Esqueça 	 Roberto Carlos	
1966	Io Che Non Vivo Senza Te - Pino Donaggio	Io Che Non Vivo Senza Te 	 Pino Donaggio	
1966	Michelle - Beatles	Michelle 	 Beatles	
1966	Meu Bem - Ronnie Von	Meu Bem 	 Ronnie Von	
1966	Disparada - Jair Rodrigues	Disparada 	 Jair Rodrigues	
1966	A Volta - Os Vips	A Volta 	 Os Vips	
1966	Strangers In The Night - Frank Sinatra	Strangers In The Night 	 Frank Sinatra	
1966	Aline - Christophe	Aline 	 Christophe	
1966	The More I See You - Chris Montez	The More I See You 	 Chris Montez	
1966	Coruja - Deny & Dino	Coruja 	 Deny & Dino	
1966	Um Grande Amor - Jerry Adriani	Um Grande Amor 	 Jerry Adriani	
1966	A Praia - Agnaldo Rayol	A Praia 	 Agnaldo Rayol	
1966	Whipped Cream - Herb Alpert & The Tijuana Brass	Whipped Cream 	 Herb Alpert & The Tijuana Brass	
1966	(I Can't Get No) Satisfaction - Rolling Stones	(I Can't Get No) Satisfaction 	 Rolling Stones	
1966	Day Tripper - Beatles	Day Tripper 	 Beatles	
1966	Pobre Menina - Leno & Lilian	Pobre Menina 	 Leno & Lilian	
1966	California Dreamin' - The Mamas & The Papas	California Dreamin' 	 The Mamas & The Papas	
1966	Lara's Theme From Dr. Zhivago - The Jordans	Lara's Theme From Dr. Zhivago 	 The Jordans	
1966	Não Diga Nada - Joelma	Não Diga Nada 	 Joelma	
1966	Eu Te Darei Bem Mais - Moacyr Franco	Eu Te Darei Bem Mais 	 Moacyr Franco	
1966	É Papo Firme - Roberto Carlos	É Papo Firme 	 Roberto Carlos	
1966	Tristeza - Jair Rodrigues	Tristeza 	 Jair Rodrigues	
1966	Ternura - Wanderléa	Ternura 	 Wanderléa	
1966	Yesterday - Matt Monro	Yesterday 	 Matt Monro	
1966	Io Te Darò Di Piú - Ornella Vanoni	Io Te Darò Di Piú 	 Ornella Vanoni	
1966	Meu Primeiro Amor - Renato & Seus Blue Caps	Meu Primeiro Amor 	 Renato & Seus Blue Caps	
1966	Guarânia da Saudade - Carlos José	Guarânia da Saudade 	 Carlos José	
1966	Mamãe Passou Açucar Em Mim - Wilson Simonal	Mamãe Passou Açucar Em Mim 	 Wilson Simonal	
1966	Giramundo - Pery Ribeiro	Giramundo 	 Pery Ribeiro	
1966	O Bom - Eduardo Araújo	O Bom 	 Eduardo Araújo	
1966	Monday Monday - The Mamas & The Papas	Monday Monday 	 The Mamas & The Papas	
1966	The Sounds Of Silence - Simon & Garfunkel	The Sounds Of Silence 	 Simon & Garfunkel	
1966	N'avoue Jamais - Guy Martell	N'avoue Jamais 	 Guy Martell	
1966	O Muro de Berlim - The Bells	O Muro de Berlim 	 The Bells	
1966	Il Mondo - Jimmy Fontana	Il Mondo 	 Jimmy Fontana	
1966	Cinderela - Angela Maria	Cinderela 	 Angela Maria	
1966	Mamãe - Agnaldo Timóteo	Mamãe 	 Agnaldo Timóteo	
1966	La Boheme - Charles Aznavour	La Boheme 	 Charles Aznavour	
1966	Devolva-me - Leno & Lilian	Devolva	me 	 Leno & Lilian
1966	Upa Neguinho - Elis Regina	Upa Neguinho 	 Elis Regina	
1966	Wolly Bully - Sam The Sham & The Pharaohs	Wolly Bully 	 Sam The Sham & The Pharaohs	
1966	Bang Bang (My Baby Shot Me Down) - Sonny & Cher	Bang Bang (My Baby Shot Me Down) 	 Sonny & Cher	
1966	Aline - Agnaldo Timóteo	Aline 	 Agnaldo Timóteo	
1966	Mexericos da Candinha - Roberto Carlos	Mexericos da Candinha 	 Roberto Carlos	
1966	Noite dos Mascarados - Chico Buarque, Odete Lara & MPB4	Noite dos Mascarados 	 Chico Buarque, Odete Lara & MPB4	
1966	The Shadow Of Your Smile - Tony Bennett	The Shadow Of Your Smile 	 Tony Bennett	
1966	Apêlo - Elizeth Cardoso	Apêlo 	 Elizeth Cardoso	
1966	Theme For Young Lovers - The Jet Blacks	Theme For Young Lovers 	 The Jet Blacks	
1966	As Tears Go By - Rolling Stones	As Tears Go By 	 Rolling Stones	
1966	Brigas - Altemar Dutra	Brigas 	 Altemar Dutra	
1966	Canto de Ossanha - Elis Regina	Canto de Ossanha 	 Elis Regina	
1966	Ninguém Poderá Julgarme - Jerry Adriani	Ninguém Poderá Julgarme 	 Jerry Adriani	
1966	Eu Te Darei o Céu - Roberto Carlos	Eu Te Darei o Céu 	 Roberto Carlos	
1966	Tema de Lara - The Jordans	Tema de Lara 	 The Jordans	
1966	Juanita Banana - The Peels	Juanita Banana 	 The Peels	
1966	Mágoa - Golden Boys	Mágoa 	 Golden Boys	
1966	Il Silenzio - Nino Rosso	Il Silenzio 	 Nino Rosso	
1966	Carango - Wilson Simonal	Carango 	 Wilson Simonal	
1966	Anda Luzia - Maria Bethânia	Anda Luzia 	 Maria Bethânia	
1966	Somewhere My Love - Ray Conniff	Somewhere My Love 	 Ray Conniff	
1966	Girl - The Beatles	Girl 	 The Beatles	
1966	Gina - Wayne Fontana	Gina 	 Wayne Fontana	
1966	Hang On Sloopy - The McCoys	Hang On Sloopy 	 The McCoys	
1966	Juramento de Playboy - Carlos Gonzaga	Juramento de Playboy 	 Carlos Gonzaga	
1966	É Tão Fácil Dizer Não Fique Triste - Cidinha Santos	É Tão Fácil Dizer Não Fique Triste 	 Cidinha Santos	
1966	Forget Him - Bobby Rydell	Forget Him 	 Bobby Rydell	
1966	I Only Want To Be With You - Dusty Springfield	I Only Want To Be With You 	 Dusty Springfield	
1966	You've Got To Hide Your Love Away - Ronnie Von	You've Got To Hide Your Love Away 	 Ronnie Von	
1966	Alguém na Multidão - Golden Boys	Alguém na Multidão 	 Golden Boys	
1966	Deus Te Acompanhe - WAnderley Cardoso	Deus Te Acompanhe 	 WAnderley Cardoso	
1966	Eu Te Amo - José Ricardo	Eu Te Amo 	 José Ricardo	
1966	Vem Chegando a Madrugada - Jair Rodrigues	Vem Chegando a Madrugada 	 Jair Rodrigues	
1966	Nossa Canção - Roberto Carlos	Nossa Canção 	 Roberto Carlos	
1966	Samba na Palma da Mão - Luiz Carlos	Samba na Palma da Mão 	 Luiz Carlos	
1966	Maringá - Eduardo Araújo	Maringá 	 Eduardo Araújo	
1966	Eterna Paixão - José Ricardo	Eterna Paixão 	 José Ricardo	
1966	Les Cornichons - Nino Ferrer	Les Cornichons 	 Nino Ferrer	
1966	Michelle - Golden Boys	Michelle 	 Golden Boys	
1966	Não Quero Ver Você Triste - Roberto Carlos	Não Quero Ver Você Triste 	 Roberto Carlos	
1966	Fim de Sonho - Marcos Roberto	Fim de Sonho 	 Marcos Roberto	
1966	Não Me Deixe Só - Denise Barreto	Não Me Deixe Só 	 Denise Barreto	
1966	I Am A Rock - Simon & Garfunkel	I Am A Rock 	 Simon & Garfunkel	
1966	A Rita - Chico Buarque	A Rita 	 Chico Buarque	
1966	Eu Te Agradeço - Silvio Cesar	Eu Te Agradeço 	 Silvio Cesar	
1966	Dia das Rosas - Maysa	Dia das Rosas 	 Maysa	
1966	Bang Bang (My Baby Shot Me Down) - Maritza Fabiani	Bang Bang (My Baby Shot Me Down) 	 Maritza Fabiani	
1966	Suburbana - Carlos José	Suburbana 	 Carlos José	
1966	Like A Rolling Stone - Bob Dylan	Like A Rolling Stone 	 Bob Dylan	
1966	Olê Olá - Chico Buarque	Olê Olá 	 Chico Buarque	
1966	Winchester Cathedral - New Vaudeville Band	Winchester Cathedral 	 New Vaudeville Band	
1966	Cabelos Longos, Idéias Curtas - Brazilian Bitles	Cabelos Longos, Idéias Curtas 	 Brazilian Bitles	
1966	Paperback Writer - The Beatles	Paperback Writer 	 The Beatles	
1966	These Boots Are Made For Walkin' - Nancy Sinatra	These Boots Are Made For Walkin' 	 Nancy Sinatra	
1966	Porta Estandarte - Geraldo Vandré	Porta Estandarte 	 Geraldo Vandré	
1966	Dia das Rosas - Sônia Delfino	Dia das Rosas 	 Sônia Delfino	
1966	Vai Ser Bom - Fevers	Vai Ser Bom 	 Fevers	
