ano	alltags	musica	artista
1973	O Vira - Secos & Molhados	O Vira 	 Secos & Molhados
1973	Retalhos de Cetim - Benito Di Paula	Retalhos de Cetim 	 Benito Di Paula
1973	Sangue Latino - Secos & Molhados	Sangue Latino 	 Secos & Molhados
1973	Skyline Pigeon - Elton John	Skyline Pigeon 	 Elton John
1973	Só Quero Um Xodó - Gilberto Gil	Só Quero Um Xodó 	 Gilberto Gil
1973	Killing Me Softly With His Song - Roberta Flack	Killing Me Softly With His Song 	 Roberta Flack
1973	Gostava Tanto de Você - Tim Maia	Gostava Tanto de Você 	 Tim Maia
1973	Ouro de Tolo - Raul Seixas	Ouro de Tolo 	 Raul Seixas
1973	Uma Vida Só (Pare de Tomar a Pílula) - Odair José	Uma Vida Só (Pare de Tomar a Pílula) 	 Odair José
1973	Your Song - Billy Paul	Your Song 	 Billy Paul
1973	Esse Cara - Maria Bethânia	Esse Cara 	 Maria Bethânia
1973	Tie A Yellow Ribbon Round The Ole Oak Tree - Tony Orlando & Dawn	Tie A Yellow Ribbon Round The Ole Oak Tree 	 Tony Orlando & Dawn
1973	My Love - Paul McCartney	My Love 	 Paul McCartney
1973	Music And Me - Michael Jackson	Music And Me 	 Michael Jackson
1973	Proposta - Roberto Carlos	Proposta 	 Roberto Carlos
1973	Crocodile Rock - Elton John	Crocodile Rock 	 Elton John
1973	Estrada da Vida - Milionário & José Rico	Estrada da Vida 	 Milionário & José Rico
1973	Neither One Of Us - Gladys Knight & The Pips	Neither One Of Us 	 Gladys Knight & The Pips
1973	Eu Bebo Sim - Elizeth Cardoso	Eu Bebo Sim 	 Elizeth Cardoso
1973	Me And Mrs. Jones - Billy Paul	Me And Mrs. Jones 	 Billy Paul
1973	Orgulho de Um Sambista - Jair Rodrigues	Orgulho de Um Sambista 	 Jair Rodrigues
1973	Daniel - Elton John	Daniel 	 Elton John
1973	Do You Love Me - Shariff Dean	Do You Love Me 	 Shariff Dean
1973	Brother Louie - Stories	Brother Louie 	 Stories
1973	Tristeza Pé no Chão - Clara Nunes	Tristeza Pé no Chão 	 Clara Nunes
1973	Clair - Gilbert O'Sullivan	Clair 	 Gilbert O'Sullivan
1973	You Are The Sunshine Of My Life - Stevie Wonder	You Are The Sunshine Of My Life 	 Stevie Wonder
1973	Why Can't We Live Together - Timmy Thomas	Why Can't We Live Together 	 Timmy Thomas
1973	Rosa de Hiroshima - Secos & Molhados	Rosa de Hiroshima 	 Secos & Molhados
1973	You're A Lady - Peter Skellern	You're A Lady 	 Peter Skellern
1973	Forever And Ever - Demis Roussos	Forever And Ever 	 Demis Roussos
1973	O Homem de Nazareth - Antonio Marcos	O Homem de Nazareth 	 Antonio Marcos
1973	Oh Girl - ChiLites	Oh Girl 	 ChiLites
1973	Camisa 10 - Luis Américo	Camisa 10 	 Luis Américo
1973	Also Sprach Zarathustra (2001) - Deodato	Also Sprach Zarathustra (2001) 	 Deodato
1973	A Cigana - Roberto Carlos	A Cigana 	 Roberto Carlos
1973	Do You Like Samba - Ciro Aguiar	Do You Like Samba 	 Ciro Aguiar
1973	Sorria, Sorria - Evaldo Braga	Sorria, Sorria 	 Evaldo Braga
1973	The Guitar Man - Bread	The Guitar Man 	 Bread
1973	Diamond Girl - Seals & Crofts	Diamond Girl 	 Seals & Crofts
1973	Viagem - Marisa	Viagem 	 Marisa
1973	O Menino da Porteira - Sérgio Reis	O Menino da Porteira 	 Sérgio Reis
1973	The Morning After - Maureen McGovern	The Morning After 	 Maureen McGovern
1973	Réu Confesso - Tim Maia	Réu Confesso 	 Tim Maia
1973	Superwoman - Stevie Wonder	Superwoman 	 Stevie Wonder
1973	Push Together - Chakachas	Push Together 	 Chakachas
1973	You're So Vain - Carly Simon	You're So Vain 	 Carly Simon
1973	I'll Be Fine - Pete Dunaway	I'll Be Fine 	 Pete Dunaway
1973	Let's Get It On - Marvin Gaye	Let's Get It On 	 Marvin Gaye
1973	Listen - Paul Bryan	Listen 	 Paul Bryan
1973	Don't Say Goodbye - Chrystian	Don't Say Goodbye 	 Chrystian
1973	Angie - The Rolling Stones	Angie 	 The Rolling Stones
1973	I've Been Around - Nathan Jones	I've Been Around 	 Nathan Jones
1973	Serafim e Seus Filhos - Ruy Maurity Trio	Serafim e Seus Filhos 	 Ruy Maurity Trio
1973	Oh, Babe, What Would You Say? - Hurricane Smith	Oh, Babe, What Would You Say? 	 Hurricane Smith
1973	Meu Pai Oxalá - Toquinho & Vinícius	Meu Pai Oxalá 	 Toquinho & Vinícius
1973	Masterpiece - Temptations	Masterpiece 	 Temptations
1973	Painted Ladies - Ian Thomas	Painted Ladies 	 Ian Thomas
1973	Listen To The Music - Doobie Brothers	Listen To The Music 	 Doobie Brothers
1973	Eu, Você e a Praça - Odair José	Eu, Você e a Praça 	 Odair José
1973	Superstition - Stevie Wonder	Superstition 	 Stevie Wonder
1973	Rockin' Roll Baby - Stylistics	Rockin' Roll Baby 	 Stylistics
1973	Don't Mess With Mister "T" - Marvin Gaye	Don't Mess With Mister "T" 	 Marvin Gaye
1973	Monkberry Moon Delight - Exuma	Monkberry Moon Delight 	 Exuma
1973	Boi da Cara Preta (Eneida, Amor e Fantasia) - Jair Rodrigues	Boi da Cara Preta (Eneida, Amor e Fantasia) 	 Jair Rodrigues
1973	E Agora José - Paulo Diniz	E Agora José 	 Paulo Diniz
1973	Cristo, Quem é Você - Odair José	Cristo, Quem é Você 	 Odair José
1973	Porta Aberta - Luiz Ayrão	Porta Aberta 	 Luiz Ayrão
1973	Homem de Verdade - Djalma Dias	Homem de Verdade 	 Djalma Dias
1973	Drama - Maria Bethânia	Drama 	 Maria Bethânia
1973	Estácio Holy Estácio - Luiz Melodia	Estácio Holy Estácio 	 Luiz Melodia
1973	A Desconhecida - Fernando Mendes	A Desconhecida 	 Fernando Mendes
1973	Eu Não Sou Cachorro Não - Waldik Soriano	Eu Não Sou Cachorro Não 	 Waldik Soriano
1973	Soul Makossa - Manu Dibango	Soul Makossa 	 Manu Dibango
1973	Summer Breeze - Seals & Crofts	Summer Breeze 	 Seals & Crofts
1973	Folhas Secas - Elis Regina	Folhas Secas 	 Elis Regina
1973	Al Capone - Raul Seixas	Al Capone 	 Raul Seixas
1973	For Once In My Life - Gladys Knight & The Pips	For Once In My Life 	 Gladys Knight & The Pips
1973	Meu Sapato Já Furou - Clara Nunes	Meu Sapato Já Furou 	 Clara Nunes
1973	Cachaça Mecânica - Erasmo Carlos	Cachaça Mecânica 	 Erasmo Carlos
1973	Funky Stuff - Kool & The Gang	Funky Stuff 	 Kool & The Gang
1973	Folhas Secas - Beth Carvalho	Folhas Secas 	 Beth Carvalho
1973	She Made Me Cry - Pholhas	She Made Me Cry 	 Pholhas
1973	Long Train Running - Doobie Brothers	Long Train Running 	 Doobie Brothers
1973	No More Troubles - Sharif Dean	No More Troubles 	 Sharif Dean
1973	It Never Rains In Southern California - Albert Hammond	It Never Rains In Southern California 	 Albert Hammond
1973	Mosca na Sopa - Raul Seixas	Mosca na Sopa 	 Raul Seixas
1973	Tá Todo Mundo Louco - Silvio Brito	Tá Todo Mundo Louco 	 Silvio Brito
1973	He - Family Child	He 	 Family Child
1973	Metamorfose Ambulante - Raixas	Metamorfose Ambulante 	 Raixas
1973	Não Tenho Culpa de Ser Triste - Nelson Ned	Não Tenho Culpa de Ser Triste 	 Nelson Ned
1973	Comportamento Geral - Gonzaguinha	Comportamento Geral 	 Gonzaguinha
1973	Tell Me Once Again - Light Reflections	Tell Me Once Again 	 Light Reflections
1973	The Snake - El Chicles	The Snake 	 El Chicles
1973	Que as Crianças Cantem Livres - Taiguara	Que as Crianças Cantem Livres 	 Taiguara
1973	Cavalo Ferro - Fagner	Cavalo Ferro 	 Fagner
1973	Naquela Mesa - Elizeth Cardoso	Naquela Mesa 	 Elizeth Cardoso
1973	Eu Disse Adeus - Maria Creuza	Eu Disse Adeus 	 Maria Creuza
1973	Volta - Gal Costa	Volta 	 Gal Costa
1973	Sing - Carpenters	Sing 	 Carpenters
