 Wando
 Roberto Carlos
 10cc
 Agepê
 Vanusa
 Elis Regina
 Left Side
 Chris DeBurgh
 Michael Jackson
 Benito Di Paula
 Milton Nascimento & Beto Guedes
 The Elton John Band
 Carl Douglas
 Genival Lacerda
 Charles Aznavour
 Elton John
 Clara Nunes
 The Captain & Tennille
 Carpenters
 KC & The Sunshine Band
 Barry White
 Beth Carvalho
 Barry Manilow
 Mauro Celso
 Billy Paul
 Cyro Aguiar
 Minnie Riperton
 Fafá de Belém
 Gilson de Souza
 Cesar Sampaio
 Cassiano
 Joe Cocker
 Paul Anka with Odia Coates
 Paulinho da Viola
 LaBelle
 Martinho da Vila
 Maria Alcina
 Conjunto Nosso Samba
 Frankie Valli
 Mark Davis
 Hyldon
 Steve Feldman
 Van McCoy
 Al Downing
 João Nogueira
 Milton Nascimento
 Neil Sedaka
 Luis Américo
 Shirley & Co.
 Paul Denver
 Rita Lee
 Stevie Wonder
 Luiz Melodia
 Dennis Yost & The Classics IV
 Gal Costa
 Sweet Sensation
 Stylistics
 Carmen Silva
 Wander Pires
 Sueli Costa
 Azimuth
 Antonio Carlos & Jocafi
 Moacyr Franco
 Chico Batera
 Nana Caymmi
 Claudia Barroso
 Hollies
 Silvio Brito
 Rita Lee & Tutti-Frutti
 Diana
 Baiano & Os Novos Caetanos
 Barbara Mason
 Paul Jones
 Caetano Veloso
 Simone
 Angela Maria
 Deny & Dino
 Golden Boys
 Leci Brandão
 Chico Buarque & Maria Bethânia
 Gloria Gaynor
 Morris Albert
 Junior
 Luiz Ayrão
 Love Unlimited Orchestra
 Dave McLean
 Raul Seixas
 Herb Ohta
 Clifford T. Ward
 Ivan Lins
 Paul McCartney & Wings
 Tower Of Power
 George McCrae
 Jair Rodrigues
 Kool & The Gang
 Mocedades
 Blue Magic
 Cat Stevens
 Wess & Dori Ghezzi
 Diana Ross & Marvin Gaye
 Chrystina
 Secos & Molhados
 Fernando Mendes
 John Denver
 Barbra Streisand
 Trio Esperança
 Aretha Franklin
 Fred Bongusto
 Cesar Costa Filho
 Nazareno & Pena Branca
 Odair José
 James Taylor
 Stu Nunnery
 José Augusto
 Margie Joseph
 Rolling Stones
 Doris Monteiro
 Djalma Dias
 Commodores
 Francisco Cuoco
 Jackson 5
 Bryan Hyland
 Elza Soares
 Eliana Pittman
 Maria Creuza
 Chrystian
 Belchior
 Gilberto Gil
 Dramatics
 Sergio Reis
 Oscar Toney Jr
 Eduardo Gudin, Márcia & Paulo Cesar Pinheiro
 Os Originais do Samba
 Sammi Jo
 Toquinho & Vinicius
 Zé Rodrix
 Roberta Flack
 Tim Maia
 Maria Bethânia
 Tony Orlando & Dawn
 Paul McCartney
 Milionário & José Rico
 Gladys Knight & The Pips
 Elizeth Cardoso
 Shariff Dean
 Stories
 Gilbert OSullivan
 Timmy Thomas
 Peter Skellern
 Demis Roussos
 Antonio Marcos
 ChiLites
 Deodato
 Ciro Aguiar
 Evaldo Braga
 Bread
 Seals & Crofts
 Marisa
 Sérgio Reis
 Maureen McGovern
 Chakachas
 Carly Simon
 Pete Dunaway
 Marvin Gaye
 Paul Bryan
 The Rolling Stones
 Nathan Jones
 Ruy Maurity Trio
 Hurricane Smith
 Toquinho & Vinícius
 Temptations
 Ian Thomas
 Doobie Brothers
 Exuma
 Paulo Diniz
 Waldik Soriano
 Manu Dibango
 Erasmo Carlos
 Pholhas
 Sharif Dean
 Albert Hammond
 Family Child
 Raixas
 Nelson Ned
 Gonzaguinha
 Light Reflections
 El Chicles
 Taiguara
 Fagner
 B.J. Thomas
 Terry Winter
 Nilsson
 Middle Of The Road
 John Lennon
 America
 Maria Bethânia & Gal Costa
 Al Green
 Sergio Sampaio
