ano;alltags;musica;artista
1974;Feelings - Morris Albert;Feelings ; Morris Albert
1974;Excuse Me - Junior;Excuse Me ; Junior
1974;Goodbye Yellow Brick Road - Elton John;Goodbye Yellow Brick Road ; Elton John
1974;No Silêncio da Madrugada - Luiz Ayrão;No Silêncio da Madrugada ; Luiz Ayrão
1974;You Make Me Feel Brand New - Stylistics;You Make Me Feel Brand New ; Stylistics
1974;O Portão - Roberto Carlos;O Portão ; Roberto Carlos
1974;Dont Let The Sun Go Down On Me - Elton John;Dont Let The Sun Go Down On Me ; Elton John
1974;Loves Theme - Love Unlimited Orchestra;Loves Theme ; Love Unlimited Orchestra
1974;Na Rua, Na Chuva, Na Fazenda (Casinha de Sapê) - Hyldon;Na Rua, Na Chuva, Na Fazenda (Casinha de Sapê) ; Hyldon
1974;Me And You - Dave McLean;Me And You ; Dave McLean
1974;The Air That I Breathe - Hollies;The Air That I Breathe ; Hollies
1974;Gita - Raul Seixas;Gita ; Raul Seixas
1974;Song For Anna - Herb Ohta;Song For Anna ; Herb Ohta
1974;Gaye - Clifford T. Ward;Gaye ; Clifford T. Ward
1974;Abre Alas - Ivan Lins;Abre Alas ; Ivan Lins
1974;Band On The Run - Paul McCartney & Wings;Band On The Run ; Paul McCartney & Wings
1974;So Very Hard To Go - Tower Of Power;So Very Hard To Go ; Tower Of Power
1974;Rock Your Baby - George McCrae;Rock Your Baby ; George McCrae
1974;O Mundo Melhor de Pixinguinha (Pizindim) - Jair Rodrigues;O Mundo Melhor de Pixinguinha (Pizindim) ; Jair Rodrigues
1974;Manhãs de Setembro - Vanusa;Manhãs de Setembro ; Vanusa
1974;Jungle Boogie - Kool & The Gang;Jungle Boogie ; Kool & The Gang
1974;Vô Batê Pá Tu - Baiano & Os Novos Caetanos;Vô Batê Pá Tu ; Baiano & Os Novos Caetanos
1974;Eres Tu (Touch The Wind) - Mocedades;Eres Tu (Touch The Wind) ; Mocedades
1974;Bennie And The Jets - Elton John;Bennie And The Jets ; Elton John
1974;Sideshow - Blue Magic;Sideshow ; Blue Magic
