ano;musica;artista
1985;We Are The World;USA For Africa
1985;Dona;Roupa Nova
1985;Um Dia de Domingo;Gal Costa & Tim Maia
1985;Careless Whisper;Wham! featuring George Michael
1985;Louras Geladas;RPM
1985;Vitoriosa;Ivan Lins
1985;Like A Virgin;Madonna
1985;Exagerado;Cazuza
1985;Leva;Tim Maia
1985;Sintonia;Tunai
1985;Será;Legião Urbana
1985;I Want To Know What Love Is;Foreigner
1985;Nós Vamos Invadir Sua Praia;Ultraje a Rigor
1985;Escrito nas Estrelas;Tetê Espíndola
1985;Chuva de Prata;Gal Costa & Roupa Nova
1985;Verde;Leila Pinheiro
1985;Sem Pecado e Sem Juízo;Baby Consuelo
1985;Take On Me;A-ha
1985;Ainda é Cedo;Legião Urbana
1985;Love Is Love;Culture Club
1985;A Cruz e a Espada;RPM
1985;Televisão;Titãs
1985;Everybody Wants To Rule The World;Tears For Fears
1985;De Volta Pro Aconchego;Elba Ramalho
1985;Cherish;Kool & The Gang
1985;Olhar 43;RPM
1985;Crazy For You;Madonna
1985;Me Liga;Os Paralamas do Sucesso
1985;Amante Profissional;Herva Doce
1985;Tudo Pode Mudar;Metrô
1985;Money For Nothing;Dire Straits
1985;Whisky A Go Go;Roupa Nova
1985;O Pobre;Léo Jaime
1985;Purple Rain;Prince & The Revolution
1985;Shy Moon;Caetano Velso & Ritchie
1985;Cheia de Charme;Guilherme Arantes
1985;Tédio;Biquini Cavadão
1985;Material Girl;Madonna
1985;Lately;Stevie Wonder
1985;Vaca Profana;Gal Costa
1985;Heaven;Bryan Adams
1985;Everytime You Go Away;Paul Young
1985;Chora Coração;Wando
1985;I Was Born To Love You;Freddie Mercury
1985;Isso Aqui Tá Bom Demais;Dominguinhos & Chico Buarque
1985;Still Loving You;Scorpions
1985;A Fórmula do Amor;Kid Abelha & Os Abóboras Selvagens
1985;Wake Me Up Before You Go-Go;Wham!
1985;One More Night;Phil Collins
1985;Verde e Amarelo;Roberto Carlos
1985;Geração Coca-Cola;Legião Urbana
1985;Make No Mistake (Hes Mine);Barbra Streisand & Kim Carnes
1985;I Feel For You;Chaka Khan
1985;Forever By Your Side;Manhattans
1985;Coração Aprendiz;Fafá de Belém
1985;I Can Wait Forever;Air Supply
1985;I Miss You;Klymaxx
1985;Nada Por Mim;Marina
1985;I Shoud Have Known Better;Jim Diamond
1985;Dont Close Your Eyes Tonight;John Denver
1985;Serão Extra (Eu Fui Dar Mamãe);Dr. Silvana & Cia.
1985;More Than I Can Bare;Matt Bianco
1985;Primeiros Erros (Chove);Kiko Zambianchi
1985;Shout;Tears For Fears
1985;Smooth Operator;Sade
1985;Private Dancer;Tina Turner
1985;Hurt To Be In Love;Gino Vannelli
1985;Saving All My Life For You;Whitney Houston
1985;What About Me?;Kenny Rogers/Kim Carnes/James Ingram
1985;Mira Ira;Lula Barbosa, Grupo Tarancón & Placa Luminosa
1985;Ti Ti Ti;Metrô
1985;Clouds Across The Moon;Rah Band
1985;Coisas do Coração;Ritchie
1985;The Heat Is On;Glenn Frey
1985;Lobo;Absyntho
1985;Egotrip;Blitz
1985;Lover Why;Century
1985;Too Late For Goodbyes;Julian Lennon
1985;Mistérios da Meia-Noite;Zé Ramalho
1985;Never;Heart
1985;Invisible;Alison Moyet
1985;Steady;Jules Shear
1985;Verdades e Mentiras;Sá & Guarabyra
1985;A Outra;Simone
1985;Missing You;Diana Ross
1985;Choro;Fábio Jr
1985;Doce Magia;Fafá de Belém
1985;Edge Of A Dream;Joe Cocker
1985;Insensível;Titãs
1985;Eu Me Amo;Ultraje a Rigor
1985;Remember I Love You;Jim Diamond
1985;Give A Little Love For Love;Stylistics
1985;Forever Young;Alphaville
1985;Jogo do Amor;Fevers
1985;Sopra o Vento;Ritchie
1985;Corações Psicodélicos;Lobão & Os Ronaldos
1985;Tarzan Boy;Baltimora
1985;Mal Nenhum;Joanna
1985;Malandro Sou Eu;Beth Carvalho
1985;Não Diga Nada;Prêntice
