ano ;musica;artista
2003;Tô nem aí;Luka
2003;Velha infância;Tribalistas  
2003;Dilemma;Nelly feat. Kelly Rowland
2003;Dois rios;Skank
2003;Amor maior;Jota Quest  
2003;Ligação urbana;Bruno & Marrone
2003;Sedex up;Robbie Williams
2003;I want you;Thalia feat. Fat Joe
2003;Prá mudar a minha vida;Zezé Di Camargo & Luciano
2003;Mmais uma vez;Renato Russo
2003;Por causa de você;KLB
2003;Bring me to life;Evanescence feat. Paul McCoy
2003;Coisas de casal;Alex Cohen
2003;Adoleta;Kelly Key
2003;Sk8ter boi;Avril Lavigne
2003;Jenny from the block;Jennifer Lopez feat. Jadakiss & Styles
2003;Monalisa;Jorge Vercilo
2003;Preciso de um tempo;Zezé Di Camargo & Luciano  
2003;Já sei namorar;Tribalistas    
2003;Brilha la luna;Rouge
2003;Lágrimas e chuva (versão acústica);Kid Abelha
2003;Vem me amar;  Alexandre Pires
2003;Vai dar namoro;Bruno & Marrone
2003;Prá onde você for;Pedro & Thiago
2003;I`m with you;Avril Lavigne
2003;Encanto;Sandy & Junior
2003;Minha fantasia;Só Pra Contrariar
2003;Cai fora;Babado Novo
2003;Opções;Os Mulekes
2003;Vivir sen aire;Maná
2003;De volta prá mim;Vanessa Jackson
2003;Prometida (Guararé);Broz
2003;Unwell;  Matchbox Twenty
2003;Somewhere I belong;Linkin Park
2003;Só dessa vez;KLB
2003;Sorte grande;Ivete Sangalo
2003;Alô; Os Travessos
2003;Tua sombra em meu caminho;Leonardo
2003;Crazy in love;Beyoncé featuring Jay-Z
2003;Como é grande o meu amor por você;Sandy & Junior
2003;Égua pocotó;MC Serginho
2003;All the things she said;T.A.T.u.
2003;Encontro das águas;Jorge Aragão & Jorge Vercilo
2003;A luz que acende o olhar;Deborah Blando
2003;A malvada;Leonardo
2003;Im glad;Jennifer Lopez
2003;Do I have to cry for;Nick Carter
2003;Quero te encontrar;Kid Abelha
2003;Don`t stop dancing;Creed
2003;AMERICAN LIFE;Madonna
2003;Evidências;Daniel
2003;A estrada (versão acústica);Cidade Negra
2003;Dà-me, dà-me (dame dame);Daniel
2003;Homem aranha;Jorge Vercilo
2003;Só por uma noite;Charlie Brown Jr.
2003;Like a stone;Audioslave
2003;A festa;Maria Rita
2003;A cada dez palavras;KLB   
2003;Prá sempre;Roberto Carlos  
2003;Não olhe assim;KLB
2003;Eu sem você;Rick & Renner
2003;PAGO PRA VER;Zeca Pagodinho
2003;SUGAR;Marina Lima & Alvin L.
2003;Quatro semanas de amaor;Pedro & Thiago
2003;Amor e sexo;Rita Lee
2003;Cruz em credo, ave Maria;Bruno & Marrone
2003;Me against the music;Britney Spears feat. Madonna
2003;Quando o sol se for;Detonautas
2003;Prá ser feliz;Gustavo Lins
2003;Gotta get thru this;Daniel Bedingfield
2003;Nada é por acaso (ao vivo);Sandy & Junior  
2003;Elevador (livro do esquecimento);Ana Carolina  
2003;Beautiful;Christina Aguilera
2003;Você vai se arrepender;Mailon & Maicon
2003;Papo reto;Charlie Brown Jr.
2003;Retrato de um playboy parte II;Gabriel O Pensador
2003;Fullgás (versão acústica);Marina Lima
2003;Why don`t you and I;Santana feat. Chad Kroeger / Alex Band
2003;Bum, bum, bum;Alexandre Pires
2003;Brincadeira tem hora;Leonardo
2003;Deixa disso;Felipe Dylon
2003;Sem querer;Vanessa Camargo
2003;Tem que valer;Kaleidoscópio
2003;Já é;Lulu Santos
2003;Você não me ensinou a te esquecer;Caetano Veloso
2003;Um amor assim;Orlando Morais
2003;Máscara;Pitty
2003;On the horizon;Melanie C
2003;Lágrimas demais;Ritchie
2003;Vícios e virtudes;Charlie Brown Jr.
2003;Sem radar;LS Jack
2003;Deixa de banca;Raça Negra & Reginaldo Rossi
2003;O mundo é de nós dois;Alcione
2003;Explosão;Tchaka Bum
2003;Complicated;Avril Lavigne
2003;Meu plano;Daniela Mercury
2003;Eu preciso te tirar do sério;Frejat
2003;Um anjo veio me falar;Rouge
2003;Sing for the moment;Eminem
2003;Eu sei que te perdi;Leonardo 
