ano;alltags;musica;artista
1959;Estúpido Cupido - Celly Campelo;Estúpido Cupido ; Celly Campelo
1959;Vai, Mas Vai Mesmo - Nora Ney;Vai, Mas Vai Mesmo ; Nora Ney
1959;Smoke Gets In Your Eyes - The Platters;Smoke Gets In Your Eyes ; The Platters
1959;Quem é? - Osmar Navarro;Quem é? ; Osmar Navarro
1959;A Felicidade - Agostinho dos Santos;A Felicidade ; Agostinho dos Santos
1959;Laçinhos Cor de Rosa - Celly Campello;Laçinhos Cor de Rosa ; Celly Campello
1959;Deusa do Asfalto - Nelson Gonçalves;Deusa do Asfalto ; Nelson Gonçalves
1959;Perfume de Gardenia - Bienvenido Granda;Perfume de Gardenia ; Bienvenido Granda
1959;Dindi - Sylvia Telles;Dindi ; Sylvia Telles
1959;Não Diga o Nome - Anísio Silva;Não Diga o Nome ; Anísio Silva
1959;Ave Maria Lola - Carlos Galhardo;Ave Maria Lola ; Carlos Galhardo
1959;Ciclone - Carlos Nobre;Ciclone ; Carlos Nobre
1959;Madureira Chorou - Germano Mathias;Madureira Chorou ; Germano Mathias
1959;Na Cadência do Samba - Elizeth Cardoso;Na Cadência do Samba ; Elizeth Cardoso
1959;Tu Somente Tu - Anísio Silva;Tu Somente Tu ; Anísio Silva
1959;Recado - Maysa;Recado ; Maysa
1959;I Need Your Love Tonight - Elvis Presley;I Need Your Love Tonight ; Elvis Presley
1959;Por Uma Noite Ainda - Orlando Dias;Por Uma Noite Ainda ; Orlando Dias
1959;Petite Fleur - Bob Crosby Orchestra;Petite Fleur ; Bob Crosby Orchestra
1959;Mack The Knife - Bobby Darin;Mack The Knife ; Bobby Darin
1959;Meu Segredo - Luis Claudio;Meu Segredo ; Luis Claudio
1959;Siete Notas de Amor - Trio Los Panchos;Siete Notas de Amor ; Trio Los Panchos
1959;Comme Prima - Trigêmeos Vocalistas;Comme Prima ; Trigêmeos Vocalistas
1959;Piston de Gafieira - Silvio Caldas;Piston de Gafieira ; Silvio Caldas
1959;Quero Beijarte as Mãos - Anísio Silva;Quero Beijarte as Mãos ; Anísio Silva
1959;Roseli - Sid Grey Orchestra;Roseli ; Sid Grey Orchestra
1959;Oh Carol - Neil Sedaka;Oh Carol ; Neil Sedaka
1959;Eu Sei Que Vou Te Amar - Elza Laranjeira;Eu Sei Que Vou Te Amar ; Elza Laranjeira
1959;A Certain Smile - Johnny Mathis;A Certain Smile ; Johnny Mathis
1959;Se Eu Pudesse - Orlando Dias;Se Eu Pudesse ; Orlando Dias
1959;Personality - Don Taylor;Personality ; Don Taylor
1959;Felicidade - Zezé Gonçalves;Felicidade ; Zezé Gonçalves
1959;Prece ao Sol - Nelson Gonçalves;Prece ao Sol ; Nelson Gonçalves
1959;Fim de Estrada - Carlos Galhardo;Fim de Estrada ; Carlos Galhardo
1959;King Creole - Elvis Presley;King Creole ; Elvis Presley
1959;Meu Coração Canta - Carlos Gonzaga;Meu Coração Canta ; Carlos Gonzaga
1959;Venus - Frankie Avalon;Venus ; Frankie Avalon
1959;Piove - Angela Maria;Piove ; Angela Maria
1959;Sax Cantabili - Silvio Mazzuca;Sax Cantabili ; Silvio Mazzuca
1959;Comme Prima - Umberto Marcato;Comme Prima ; Umberto Marcato
1959;Jambalaya - Brenda Lee;Jambalaya ; Brenda Lee
1959;Brigas, Nunca Mais - Marlene;Brigas, Nunca Mais ; Marlene
1959;Personality - Lloyd Price;Personality ; Lloyd Price
1959;Chiclete Com Banana - Jackson do Pandeiro;Chiclete Com Banana ; Jackson do Pandeiro
1959;Pombo Correio - Gilberto Alves;Pombo Correio ; Gilberto Alves
1959;Hino ao Amor - Wilma Bentivegna;Hino ao Amor ; Wilma Bentivegna
1959;Ela Disseme Assim - Jamelão;Ela Disseme Assim ; Jamelão
1959;Revolta - Nelson Gonçalves;Revolta ; Nelson Gonçalves
1959;Donde Estás Mi Vida - Joselito;Donde Estás Mi Vida ; Joselito
