ano;alltags;artista;musica
1969;As Curvas da Estrada de Santos - Roberto Carlos;As Curvas da Estrada de Santos ; Roberto Carlos
1969;Aquele Abraço - Gilberto Gil;Aquele Abraço ; Gilberto Gil
1969;Hoje - Taiguara;Hoje ; Taiguara
1969;Aquarius/Let The Sunshine In - 5th Dimension;Aquarius/Let The Sunshine In ; 5th Dimension
1969;País Tropical - Wilson Simonal;País Tropical ; Wilson Simonal
1969;Get Back - Beatles;Get Back ; Beatles
1969;Mustang Cor de Sangue - Marcos Valle;Mustang Cor de Sangue ; Marcos Valle
1969;Sugar, Sugar - The Archies;Sugar, Sugar ; The Archies
1969;I Started A Joke - Bee Gees;I Started A Joke ; Bee Gees
1969;F... Comme Femme - Adamo;F... Comme Femme ; Adamo
1969;Que Pena - Gal Costa & Caetano Veloso;Que Pena ; Gal Costa & Caetano Veloso
1969;Charles, Anjo 45 - Jorge Ben;Charles, Anjo 45 ; Jorge Ben
1969;Sentado à Beira do Caminho - Erasmo Carlos;Sentado à Beira do Caminho ; Erasmo Carlos
1969;Crimson And Clover - Tommy James & The Shondells;Crimson And Clover ; Tommy James & The Shondells
1969;Sua Estupidez - Roberto Carlos;Sua Estupidez ; Roberto Carlos
1969;Traces - Classics IV;Traces ; Classics IV
1969;Tudo Passará - Nelson Ned;Tudo Passará ; Nelson Ned
1969;Proud Mary - Creedence Clearwater Revival;Proud Mary ; Creedence Clearwater Revival
1969;Casa de Bamba - Martinho da Vila;Casa de Bamba ; Martinho da Vila
1969;Eu Disse Adeus - Roberto Carlos;Eu Disse Adeus ; Roberto Carlos
1969;Youve Made Me So Very Happy - Blood, Sweat & Tears;Youve Made Me So Very Happy ; Blood, Sweat & Tears
1969;Green River - Creedence Clearwater Revival;Green River ; Creedence Clearwater Revival
1969;Não Identificado - Gal Costa;Não Identificado ; Gal Costa
1969;Casaco Marrom - Evinha;Casaco Marrom ; Evinha
1969;Smile A Little Smile For Me - The Flying Machine;Smile A Little Smile For Me ; The Flying Machine
1969;My Cherie Amour - Stevie Wonder;My Cherie Amour ; Stevie Wonder
1969;Those Were The Days - Mary Hopkin;Those Were The Days ; Mary Hopkin
1969;Atrás do Trio Elétrico - Caetano Veloso;Atrás do Trio Elétrico ; Caetano Veloso
1969;To Sir With Love - Lulu;To Sir With Love ; Lulu
1969;Zingara - Bobby Solo;Zingara ; Bobby Solo
1969;Socorro, Nosso Amor Está Morrendo - Wanderley Cardoso;Socorro, Nosso Amor Está Morrendo ; Wanderley Cardoso
1969;Que Maravilha - Jorge Ben & Toquinho;Que Maravilha ; Jorge Ben & Toquinho
1969;The Ballad Of John And Yoko - Beatles;The Ballad Of John And Yoko ; Beatles
1969;Honky Tonk Women - Rolling Stones;Honky Tonk Women ; Rolling Stones
1969;Love Is All - Malcolm Roberts;Love Is All ; Malcolm Roberts
1969;Stella - Fabio;Stella ; Fabio
1969;My Way - Frank Sinatra;My Way ; Frank Sinatra
1969;Adeus Ingrata - Claudio Fontana;Adeus Ingrata ; Claudio Fontana
1969;Tomorrow Tomorrow - Bee Gees;Tomorrow Tomorrow ; Bee Gees
1969;Get Together - Youngbloods;Get Together ; Youngbloods
1969;Good Morning Starshine - Oliver;Good Morning Starshine ; Oliver
1969;O Pequeno Burguês - Martinho da Vila;O Pequeno Burguês ; Martinho da Vila
1969;As Flores do Jardim da Nossa Casa - Roberto Carlos;As Flores do Jardim da Nossa Casa ; Roberto Carlos
1969;For Once In My Life - Stevie Wonder;For Once In My Life ; Stevie Wonder
1969;Cantiga Por Luciana - Evinha;Cantiga Por Luciana ; Evinha
1969;Love Theme From Romeo & Juliet - Henry Mancini;Love Theme From Romeo & Juliet ; Henry Mancini
1969;Je TAime (Moi Non Plus) - Jane Birkin & Serge Gainsburg;Je TAime (Moi Non Plus) ; Jane Birkin & Serge Gainsburg
1969;Little Green Apples - O.C. Smith;Little Green Apples ; O.C. Smith
1969;O Conde - Jair Rodrigues;O Conde ; Jair Rodrigues
1969;Mudando de Conversa - Doris Monteiro;Mudando de Conversa ; Doris Monteiro
1969;ObLaDi ObLaDa - The Marmalade;ObLaDi ObLaDa ; The Marmalade
1969;Casatchok - Georges Jovin;Casatchok ; Georges Jovin
1969;I Say A Little Prayer - Aretha Franklin;I Say A Little Prayer ; Aretha Franklin
1969;Easy To Be Hard - Three Dog Night;Easy To Be Hard ; Three Dog Night
1969;DoReMi - Doris Monteiro;DoReMi ; Doris Monteiro
1969;Pra Que Dinheiro - Martinho da Vila;Pra Que Dinheiro ; Martinho da Vila
1969;Hold Me Tight - Johnny Nash;Hold Me Tight ; Johnny Nash
1969;2001 - Os Mutantes;2001; Os Mutantes
1969;I Heard It Through The Grapevine - Marvin Gaye;I Heard It Through The Grapevine ; Marvin Gaye
1969;Irene - Caetano Veloso;Irene ; Caetano Veloso
1969;Cadê Teresa - Os Originais do Samba;Cadê Teresa ; Os Originais do Samba
1969;Sinal Fechado - Paulinho da Viola;Sinal Fechado ; Paulinho da Viola
1969;Atlantis - Donovan;Atlantis ; Donovan
1969;Trains And Boats And Planes - The Box Tops;Trains And Boats And Planes ; The Box Tops
1969;Meia Volta (Ana Cristina) - Wilson Simonal;Meia Volta (Ana Cristina) ; Wilson Simonal
1969;Girl Watcher - OKaysions;Girl Watcher ; OKaysions
1969;In The Year 2525 - Zager & Evans;In The Year 2525 ; Zager & Evans
1969;Sentinela - Milton Nascimento;Sentinela ; Milton Nascimento
1969;Levanta a Cabeça - Osvaldo Nunes;Levanta a Cabeça ; Osvaldo Nunes
1969;Onde Estão Aqueles Dias - Carmen Silva;Onde Estão Aqueles Dias ; Carmen Silva
1969;Elenore - The Turtles;Elenore ; The Turtles
1969;Cadê Teresa - Jorge Ben;Cadê Teresa ; Jorge Ben
1969;Leva Meu Samba - Jair Rodrigues;Leva Meu Samba ; Jair Rodrigues
1969;Hey Jude - Beatles;Hey Jude ; Beatles
1969;Madalena - Elis Regina;Madalena ; Elis Regina
1969;Over You - Gary Puckett & The Union Gap;Over You ; Gary Puckett & The Union Gap
1969;Zazueira - Herb Alpert & The Tijuana Brass;Zazueira ; Herb Alpert & The Tijuana Brass
1969;My Special Angel - The Vogues;My Special Angel ; The Vogues
1969;These Eyes - The Guess Who;These Eyes ; The Guess Who
1969;O Que Será Que As Outras Tem Que a Linda Não Tem? - Ary Toledo;O Que Será Que As Outras Tem Que a Linda Não Tem? ; Ary Toledo
1969;Domingas - Jorge Ben;Domingas ; Jorge Ben
1969;Magic Carpet Ride - Steppenwolf;Magic Carpet Ride ; Steppenwolf
1969;A Festa dos Seus Quinze Anos - Leno;A Festa dos Seus Quinze Anos ; Leno
1969;1, 2, 3, Red Light - 1910 Fruitgum Company;1, 2, 3, Red Light ; 1910 Fruitgum Company
1969;Dizzy - Tommy Roe;Dizzy ; Tommy Roe
1969;Hair - The Cowsills;Hair ; The Cowsills
1969;Soulful Strut - YoungHolt Unlimited;Soulful Strut ; YoungHolt Unlimited
1969;Se O Telefone Tocar - Vox Deorum;Se O Telefone Tocar ; Vox Deorum
1969;Build Me Up Buttercup - The Foundations;Build Me Up Buttercup ; The Foundations
1969;Time Of The Season - The Zombies;Time Of The Season ; The Zombies
1969;Turn Around, Look At Me - The Vogues;Turn Around, Look At Me ; The Vogues
1969;Chiclete Com Banana - Leila Silva;Chiclete Com Banana ; Leila Silva
