ano;musica;artista
2006;Dont cha;  The Pussycat Dolls & Busta Rhymes
2006;É isso aí;  Ana Carolina & Seu Jorge
2006;Me namora;  Edu Ribeiro & Cativeiro
2006;Ai, ai, ai... (deep lick radio mix);Vanessa da Mata
2006;Hip`s don`t lie;  Shakira e Wyclef Jean  
2006;Ela só pensa em beijar (Se ela dança, eu danço) ;MC Leozinho
2006;Não resisto a nós dois;Wanessa Camargo
2006;Quando a chuva passar;Ivete Sangalo
2006;Don`t forget about us;Mariah Carey
2006;Pump it;The Black Eyed Peas
2006;Obsessão;KLB
2006;Because of you;Kelly Clarkson
2006;Memórias;Pitty
2006;Desenho de Deus;Armandinho
2006;London bridge;Fergie
2006;Nosso amor;RBD
2006;Sexyback;Justin Timberlake
2006;Deja vu;Beyoncé & Jay-Z
2006;Vilarejo;Marisa Monte
2006;One last cry;Marina Elali
2006;Vê se toma juízo;Bruno & Marrone
2006;Se quiser;Tânia Mara
2006;Amor virtual;Sampa Crew
2006;Fique em silêncio;RBD
2006;You`re beautiful;James Blunt
2006;Arrasta uma cadeira;Roberto Carlos & Chitãozinho & Xororó
2006;Diz pro meu olhar;Zezé Di Camargo & Luciano
2006;Replay;Sandy & Junior
2006;Átomos;Zezé Di Camargo & Luciano
2006;Dani Califórnia;Red Hot Chili Peppers
2006;Promiscuous;Nelly Furtado & Timbaland
2006;Far away;Nickelback
2006;Quem diria, hein?;Daniel
2006;Por te amar demais;Bruno & Marrone
2006;Meu ébano;Alcione
2006;Por mais que eu tente;Marjorie Estiano
2006;Wake me up when september ends;Green Day
2006;Sinhá moça;Leonardo
2006;Abalou;Ivete Sangalo
2006;Hung up;Madonna
2006;Ain`t no other man;Christina Aguilera;
2006;Na frente do reto;O Rappa
2006;Stupid girl;Pink
2006;O sol;Jota Quest
2006;Seu amor é tudo que eu quero;Guilherme & Santiago
2006;Buttoms;The Pussycat Dolls & Snoop Dogg
2006;Check on it;Beyoncé & Slim Thug
2006;Beijos, blues e poesia;K-Sis
2006;De latinha na mão;Leonardo & Zeca Pagodinho
2006;Eu não sei dizer que não te amo; Edson & Hudson & Kenny Rogers
2006;Pescador de ilusões (acústico);O Rappa
2006;Palavras de um futuro bom;Jota Quest
2006;Prá ser sincero; Marisa Monte
2006;Foi;Zezé Di Camargo & Luciano
2006;Uma canção é para isso;Skank
2006;ABCDE ;Guilherme & Santiago
2006;Call me whn you`re sober;Evanescence
2006;Totalmente demais;Perlla
2006;Crazy;Gnarls Barkley
2006;Amor de ping-pong;Bruno & Marrone
2006;Não reclame mais;Detonautas
2006;Codinome beija-flor (ao vivo);Barão Vermelho & Cazuza
2006;Senhor do tempo;Charlie Brown Jr.
2006;Se ainda existe amor;Leonardo
2006;O bonde do dom;Marisa Monte
2006;Temperature;Sean Paul
2006;A galera;Ivete Sangalo
2006;Upside down;Jack Johnson
2006;Bola de sabão;Banda Babado Novo
2006;É amor, é paixão;Chitãozinho & Xororó
2006;High;James Blunt
2006;Quem já perdeu um sonho aqui?;Hateen
2006;So sick;Ne-Yo;
2006;Sorry;Madonna
2006;Deixo a voz me levar (What`s left of me) ;Leandro
2006;Sou dela;Nando Reis & Os Infernais
2006;Eu sei;Papas da Língua;
2006;O jogo;Marjorie Estiano
2006;Ela vai voltar;Charlie Brown Jr.
2006;Ódio;Luxúria
2006;Apostas e certezas;CPM 22
2006;Sem resposta;Luka
2006;O inferno são os outros;Titãs
2006;Lose control;Missy Elliott & Ciara & Fat Man Scoop
2006;Gueto;Marcelo D2
2006;Faço tudo por você;Banda Calypso
2006;Tempo perdido;  Zezé Di Camargo & Luciano
2006;Quando acaba uma paixão;Daniel
2006;Mexe seu corpo;Cabal & Lailah Moreno
2006;Por um gole a mais;Bruno & Marrone
2006;Wake up;Hilary Duff
2006;Quero só você;AfroReggae
2006;Breakaway;Kelly Clarkson
2006;Deja vu;Pitty
2006;Imperecível;Luxúria
2006;Tell me baby;Red Hot Chili Peppers
2006;Salva-me;RBD
2006;A verdadeira paixão;Grupo Revelação
2006;Anúncio de refrigerante;Capital Inicial
2006;Believe me;Fort Minor
